,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2017-05-30,688531,292178,253912,87541,8615,73586,167376,70999,40556,38266,78926,-93790,30443,912.75,928.5,910.5,926.0,134220
2017-06-06,706764,296092,255634,80037,9199,78869,180621,77978,43108,40458,70838,-101752,34870,923.5,934.25,920.0,921.0,122797
2017-06-13,700351,280149,257791,77246,9794,75600,166390,83901,39067,22358,67452,-90790,44834,932.5,941.5,931.75,933.75,122202
2017-06-20,706456,293790,259470,70515,10990,71851,168284,86143,40200,34320,59525,-96433,45943,927.75,940.75,926.0,937.25,116399
2017-06-27,684964,292118,239241,88473,6923,70093,196005,67147,35775,52877,81550,-125912,31372,911.25,918.0,909.0,909.0,89490
2017-07-03,658517,262859,248465,90904,13518,76394,159024,67231,44030,14394,77386,-82630,23201,964.75,976.0,949.5,949.5,4575
2017-07-11,675354,254875,310077,88692,15337,100304,93092,67608,56820,-55202,73355,7212,10788,1025.25,1027.75,1010.5,1027.75,647
2017-07-18,652228,233114,315639,91117,14111,103654,72369,65673,56127,-82525,77006,31285,9546,989.5,1004.25,985.75,997.25,36919
2017-07-25,628115,214214,318177,95374,12792,94209,58256,76024,53192,-103963,82582,35953,22832,981.5,1022.75,981.0,1012.0,60667
2017-08-01,623648,208767,308621,95429,13275,95655,69139,76468,48279,-99854,82154,26516,28189,959.5,986.75,958.25,985.25,6446
2017-08-08,619352,222281,307220,94696,14037,77483,76670,81756,41157,-84939,80659,813,40599,963.0,967.5,962.5,967.0,480
2017-08-15,647201,235802,304949,91070,18467,74701,97352,92900,36964,-69147,72603,-22651,55936,921.75,934.25,920.25,932.75,27865
2017-08-22,673527,245293,301734,92285,18277,78000,113295,94725,41392,-56441,74008,-35295,53333,933.75,938.5,927.75,931.25,17264
2017-08-29,652422,245875,276549,96178,15523,76736,109413,67360,49390,-30674,80655,-32677,17970,930.75,937.25,929.5,934.5,18217
2017-09-05,663179,241223,290056,96449,15316,83238,95767,62400,51915,-48833,81133,-12529,10485,960.5,965.0,945.0,945.0,1399
2017-09-12,667033,239912,292223,99619,15016,87260,94506,62615,51777,-52311,84603,-7246,10838,944.25,955.25,937.5,955.25,52
2017-09-19,662802,225736,297061,101332,15020,89333,77744,65772,57237,-71325,86312,11589,8535,965.5,971.75,958.5,968.5,111414
2017-09-26,673029,224783,311567,101980,15265,96108,71095,63915,54900,-86784,86715,25013,9015,963.5,974.25,962.5,971.25,146295
2017-10-03,695045,239034,326917,97247,14404,96167,73032,67256,52257,-87883,82843,23135,14999,955.25,961.25,952.5,956.75,94821
2017-10-10,717176,258764,355555,97347,12884,87957,62088,69617,51243,-96791,84463,25869,18374,966.0,975.75,964.25,966.25,136485
2017-10-17,744280,256656,386025,98027,10803,110613,43100,67707,53336,-129369,87224,67513,14371,984.75,990.5,982.5,990.0,134302
2017-10-24,765011,273738,379465,98003,11809,98658,51424,71257,61998,-105727,86194,47234,9259,975.5,983.0,972.75,980.0,136868
2017-10-31,665457,217037,333807,98746,13614,94831,55815,70713,41857,-116770,85132,39016,28856,973.75,977.5,971.0,972.75,22828
2017-11-07,687514,221913,348536,102400,13252,97847,52794,72002,46241,-126623,89148,45053,25761,986.0,988.25,981.75,986.0,3775
2017-11-14,711001,245421,341005,94976,14088,92482,75213,80578,45960,-95584,80888,17269,34618,959.0,967.25,958.5,966.0,101927
2017-11-21,719935,255864,355817,97768,17267,84836,64522,76608,44679,-99953,80501,20314,31929,989.0,991.25,986.25,990.0,75304
2017-11-28,733424,258676,365486,98661,17369,86557,56512,76896,44068,-106810,81292,30045,32828,993.0,996.0,987.5,996.0,96755
2017-12-05,769361,253848,388668,99083,19035,106441,51556,80177,42477,-134820,80048,54885,37700,1008.5,1015.0,997.5,998.5,157924
2017-12-12,732220,272159,365816,97126,18424,83076,70621,81356,38566,-93657,78702,12455,42790,975.75,986.25,975.0,981.75,161910
2017-12-19,758065,295997,337358,89848,19360,69068,121555,95987,33218,-41361,70488,-52487,62769,956.0,964.0,955.0,962.25,104929
2017-12-26,745186,286859,306722,96350,16534,69246,140623,87238,39192,-19863,79816,-71377,48046,959.25,963.0,952.25,952.25,57390
2018-01-02,714287,276361,278603,94586,14390,67873,155716,87962,44873,-2242,80196,-87843,43089,955.0,960.0,949.5,956.5,2900
2018-01-09,733182,290837,279268,99239,13768,69126,164834,81269,50994,11569,85471,-95708,30275,955.75,959.25,953.5,958.75,580
2018-01-16,766686,298868,276500,102413,12805,70762,176467,80895,53838,22368,89608,-105705,27057,968.0,970.0,963.25,965.0,97797
2018-01-23,783339,299842,290460,109467,13203,73602,154820,73074,58946,9382,96264,-81218,14128,986.25,988.75,979.5,983.0,107959
2018-01-30,790223,286892,327803,113152,13053,83342,106484,70944,60601,-40911,100099,-23142,10343,1000.25,1004.75,988.25,994.5,169083
2018-02-06,784222,282073,340023,113167,13181,80633,93228,70167,55679,-57950,99986,-12595,14488,986.25,987.5,967.75,969.75,179233
2018-02-13,757288,273897,381024,120181,12028,94855,57989,72157,57860,-107127,108153,36866,14297,1011.75,1013.5,998.75,1001.0,177145
2018-02-20,804370,271749,434334,125530,12968,127468,34887,81428,67143,-162585,112562,92581,14285,1026.5,1039.0,1024.5,1031.5,193966
2018-02-27,772367,231781,442159,122529,12726,160203,20357,78041,62530,-210378,109803,139846,15511,1038.0,1044.25,1031.75,1034.0,78531
2018-03-06,819234,221435,477898,142031,18018,188512,10681,84462,67416,-256463,124013,177831,17046,1064.5,1067.0,1060.75,1066.0,2839
2018-03-13,849743,226003,491597,147484,19362,209152,8378,82143,81535,-265594,128122,200774,608,1040.5,1043.25,1035.5,1035.5,249
2018-03-20,851441,239171,494446,146597,21490,196461,12221,82864,69284,-255275,125107,184240,13580,1028.25,1029.75,1022.25,1022.25,78890
2018-03-27,872794,259540,505453,145050,21631,183493,10482,89529,69740,-245913,123419,173011,19789,1019.5,1031.25,1017.25,1027.0,98041
2018-04-03,906217,259471,533718,155604,22051,184893,12464,99158,61126,-274247,133553,172429,38032,1038.0,1048.75,1035.75,1036.25,135404
2018-04-10,936447,276117,557537,158375,22791,180851,11312,101291,60565,-281420,135584,169539,40726,1050.0,1064.0,1045.0,1045.5,171444
2018-04-17,970469,287591,585045,159883,20109,195145,6982,94485,58291,-297454,139774,188163,36194,1046.0,1049.25,1040.0,1043.25,81326
2018-04-24,906318,269504,544472,161164,15943,180681,10766,79256,56149,-274968,145221,169915,23107,1022.25,1026.25,1016.25,1020.75,90059
2018-05-01,847595,226073,520796,160315,12976,187160,8878,83686,58808,-294723,147339,178282,24878,1042.5,1044.0,1031.25,1038.75,6794
2018-05-08,852051,244376,514548,163428,10224,148614,26149,99071,48889,-270172,153204,122465,50182,1011.25,1011.75,1002.25,1004.25,784
2018-05-15,878836,258649,516804,165656,10863,140492,39420,104707,50131,-258155,154793,101072,54576,1018.75,1025.25,1005.25,1017.25,115400
2018-05-22,897471,266694,515893,164119,8856,129399,34603,102130,53456,-249199,155263,94796,48674,1030.5,1036.0,1020.25,1022.0,106181
2018-05-29,910312,265299,515947,162604,9516,131910,28320,106029,59386,-250648,153088,103590,46643,1030.5,1049.5,1028.0,1045.25,128700
2018-06-05,912593,257006,493998,168839,10583,109869,44692,115888,54116,-236992,158256,65177,61772,1001.25,1006.75,997.25,1002.25,127577
2018-06-12,923162,261420,458756,157739,10151,87605,87500,144463,52912,-197336,147588,105,91551,954.0,963.25,952.0,956.5,137200
2018-06-19,917545,277906,438872,150750,12476,87683,114720,136982,51766,-160966,138274,-27037,85216,889.0,905.75,841.5,905.0,196376
2018-06-26,838292,279133,373427,134810,11518,77622,130278,95467,41526,-94294,123292,-52656,53941,867.25,881.0,862.5,873.25,88854
2018-07-03,803511,248977,333087,130021,11248,72724,136886,101306,41873,-84110,118773,-64162,59433,844.0,852.75,843.0,849.5,0
2018-07-10,831732,252800,345110,129241,14354,77363,140906,109432,40742,-92310,114887,-63543,68690,852.25,860.25,847.5,849.0,866
2018-07-17,857941,270186,356644,128867,17223,75154,147163,112913,39754,-86458,111644,-72009,73159,839.5,843.5,830.0,833.25,37736
2018-07-24,860280,264280,341268,130411,18918,81975,155334,104230,41685,-76988,111493,-73359,62545,858.0,862.75,842.5,844.0,39163
2018-07-31,804573,222763,307828,134306,16217,83014,149573,94534,42058,-85065,118089,-66559,52476,903.75,906.0,873.25,875.5,15115
2018-08-07,789827,237133,310364,133060,15813,76334,139400,90588,46200,-73231,117247,-63066,44388,889.25,891.25,883.25,887.75,2138
2018-08-14,800037,255122,311298,135494,16952,77154,139388,78023,51550,-56176,118542,-62234,26473,864.5,864.5,856.5,858.5,16365
2018-08-21,789943,256199,323121,133458,18483,78911,120938,76227,52004,-66922,114975,-42027,24223,874.5,883.25,873.5,874.0,18546
2018-08-28,801315,273659,314241,136066,22471,75059,136308,74406,53722,-40582,113595,-61249,20684,820.5,836.5,820.25,833.25,26658
2018-09-04,808144,277871,306447,134375,19200,78159,147958,75354,61212,-28576,115175,-69799,14142,832.0,838.75,826.5,832.0,1583
2018-09-11,826269,294544,309269,132459,21209,77326,156221,76703,64360,-14725,111250,-78895,12343,820.25,836.75,820.25,836.75,351
2018-09-18,868535,306808,314824,131097,23994,83287,165504,79816,67125,-8016,107103,-82217,12691,814.0,825.25,812.25,821.0,94047
2018-09-25,865196,305097,328643,128076,21664,89562,149688,72039,66774,-23546,106412,-60126,5265,845.75,858.0,837.25,841.25,160953
2018-10-02,861752,296297,338860,129854,17980,91548,134426,70756,66905,-42563,111874,-42878,3851,866.0,867.25,853.0,856.75,117212
2018-10-09,847629,283926,321944,126252,17051,87990,127681,68096,69699,-38018,109201,-39691,-1603,863.0,872.5,859.25,869.75,141122
2018-10-16,856882,288313,339896,128749,14188,87564,118676,67336,65998,-51583,114561,-31112,1338,884.75,891.25,879.25,891.25,106588
2018-10-23,840910,287145,325840,124748,18100,85486,124765,69427,61687,-38695,106648,-39279,7740,857.5,862.75,851.0,857.5,107486
2018-10-30,758346,264293,271269,118698,13101,74062,143977,61185,55485,-6976,105597,-69915,5700,833.5,842.0,832.25,839.0,107969
2018-11-06,749701,252369,291597,120020,12595,74952,113818,60556,55703,-39228,107425,-38866,4853,872.0,874.5,866.75,872.25,4267
2018-11-13,747077,264356,291324,119486,15532,74434,123919,60713,53186,-26968,103954,-49485,7527,867.25,876.25,867.25,871.75,2529
2018-11-20,736279,262966,292352,117752,14888,73778,126957,61751,50919,-29386,102864,-53179,10832,881.0,885.75,870.5,874.25,68069
2018-11-27,740891,268142,298470,118168,15837,73241,132544,65814,46357,-30328,102331,-59303,19457,875.5,880.0,858.25,862.5,98671
2018-12-04,741450,250456,325059,113374,16592,88963,101539,65923,44396,-74603,96782,-12576,21527,911.75,913.0,899.5,903.25,107528
2018-12-11,739226,261739,325559,112694,18316,84880,85563,59929,53315,-63820,94378,-683,6614,915.0,917.25,906.0,907.75,114414
2018-12-18,738470,265086,334434,109922,21664,88020,74854,57137,55772,-69348,88258,13166,1365,907.75,912.25,902.75,902.75,91101
2018-12-24,701165,262347,329066,105377,7906,74614,77853,54702,47353,-66719,97471,-3239,7349,884.0,886.5,879.5,883.25,30790
2018-12-31,665638,240584,301144,104891,6906,68802,83097,58405,46204,-60560,97985,-14295,12201,882.5,889.0,879.25,885.5,13220
2019-01-08,673773,240270,313024,103941,6059,81299,76585,55141,49081,-72754,97882,4714,6060,906.25,912.5,903.0,911.75,3286
2019-01-15,684787,249103,307826,104365,6050,68349,85047,59231,46640,-58723,98315,-16698,12591,893.25,908.0,892.5,904.25,107769
2019-01-22,696118,254570,303691,105026,6412,66095,81389,55147,51690,-49121,98614,-15294,3457,909.25,919.5,899.5,916.5,126766
2019-01-29,691916,247842,314422,104095,7617,75594,70933,53971,50060,-66580,96478,4661,3911,919.0,922.25,916.75,921.75,86953
2019-02-05,740350,266871,331450,104741,8159,82242,70562,52880,57668,-64579,96582,11680,-4788,920.25,921.0,913.5,917.75,83109
2019-02-12,731689,283045,327500,101427,8468,75108,77236,50705,53899,-44455,92959,-2128,-3194,917.5,919.75,905.5,905.5,126536
2019-02-19,727412,283237,299965,95868,8652,65993,103890,54562,44984,-16728,87216,-37897,9578,900.75,911.25,894.75,907.25,119260
2019-02-26,650974,239604,264982,98700,9306,70733,103141,52223,42787,-25378,89394,-32408,9436,903.75,910.75,899.0,910.0,88696
2019-03-05,658689,233218,249555,93044,8216,69493,116249,53586,37761,-16337,84828,-46756,15825,901.25,904.75,896.75,904.75,3339
2019-03-12,694573,273427,249047,87460,8561,64923,153973,59840,36757,24380,78899,-89050,23083,884.75,885.0,880.25,880.5,237
2019-03-19,689476,265002,266966,87397,9228,71955,134159,55592,33868,-1964,78169,-62204,21724,904.0,909.5,900.25,905.5,78731
2019-03-26,711711,270837,287260,89817,9792,79563,127263,55598,35409,-16423,80025,-47700,20189,900.75,907.5,899.5,905.5,64159
2019-04-02,737102,281306,284112,88855,9789,81122,150275,63642,38529,-2806,79066,-69153,25113,900.0,901.25,892.5,895.75,78593
2019-04-09,767938,287153,299757,90934,10209,77057,147791,68051,35960,-12604,80725,-70734,32091,898.75,902.25,894.75,898.25,95488
2019-04-16,787124,301929,294472,89923,9073,72985,165729,70299,34461,7457,80850,-92744,35838,888.0,899.0,886.25,898.25,115185
2019-04-23,811336,330554,293056,86207,9164,63440,197384,79483,32039,37498,77043,-133944,47444,862.0,878.75,860.75,877.0,168391
2019-04-30,727156,287768,236106,100927,7310,59360,207396,66262,36561,51662,93617,-148036,29701,841.25,851.0,838.5,848.0,11508
2019-05-07,752910,292040,246920,101437,7531,60617,223645,77915,32398,45120,93906,-163028,45517,817.75,821.75,815.0,815.0,2555
2019-05-14,757088,283609,239870,107489,8563,59587,230728,79616,31870,43739,98926,-171141,47746,817.75,817.75,810.0,810.0,167862
2019-05-21,771522,285841,263077,105471,9190,62145,220143,87801,29744,22764,96281,-157998,58057,822.0,846.5,819.0,842.75,188028
2019-05-28,778621,276732,280120,105134,9610,64252,192389,80352,29198,-3388,95524,-128137,51154,856.0,858.25,837.5,840.0,148619
2019-06-04,771623,275594,292009,99835,11950,67402,158222,72353,29426,-16415,87885,-90820,42927,881.75,894.5,878.5,891.25,146836
2019-06-11,757333,270135,285237,98902,12010,67825,156714,72607,31387,-15102,86892,-88889,41220,859.25,863.5,850.25,855.5,138285
2019-06-18,777993,254419,321456,104809,16060,74092,128367,83141,31600,-67037,88749,-54275,51541,913.5,921.5,902.75,918.25,154004
2019-06-25,654165,223419,284401,92191,14280,65754,102618,61889,26893,-60982,77911,-36864,34996,903.5,917.75,900.5,915.0,141144
2019-07-02,648855,226798,289180,90495,10944,63061,103648,69548,25809,-62382,79551,-40587,43739,876.25,888.25,876.25,886.25,2636
2019-07-09,676785,226581,288988,92741,12170,67359,113109,71319,26807,-62407,80571,-45750,44512,882.75,882.75,870.75,872.25,936
2019-07-16,670495,217209,287611,94836,12054,68002,110483,72906,25241,-70402,82782,-42481,47665,887.75,900.0,885.0,899.75,64645
2019-07-23,666535,213662,281452,93172,12027,70547,113203,74185,27409,-67790,81145,-42656,46776,885.75,892.5,881.0,888.5,25780
2019-07-30,605996,190070,240708,90890,12128,71714,126874,66048,22171,-50638,78762,-55160,43877,878.75,887.0,871.5,884.75,52783
2019-08-06,633067,210699,240849,83469,10575,71331,147649,74624,23783,-30150,72894,-76318,50841,847.75,853.25,847.0,848.5,2306
2019-08-13,622488,202305,238998,83047,12779,72877,140080,78843,29287,-36693,70268,-67203,49556,872.0,872.0,871.25,872.0,145
2019-08-20,642876,208846,242344,83156,12454,73564,150384,79483,24403,-33498,70702,-76820,55080,855.75,862.0,853.0,856.25,14785
2019-08-27,644246,205225,233392,83828,13002,73400,148951,72388,26804,-28167,70826,-75551,45584,846.25,852.0,843.0,851.5,51663
2019-09-03,642132,208165,244436,86001,12527,75721,147279,71257,24683,-36271,73474,-71558,46574,856.5,856.5,848.75,855.5,2239
2019-09-10,669501,227311,250356,90789,12581,66899,156912,68831,25445,-23045,78208,-90013,43386,859.25,859.25,845.5,847.25,465
2019-09-17,669738,216020,282263,95807,11531,77648,123260,66440,30624,-66243,84276,-45612,35816,893.75,900.0,888.25,900.0,91238
2019-09-24,690291,222283,304299,98224,10955,77243,120296,71028,26740,-82016,87269,-43053,44288,894.25,899.0,890.5,892.5,96225
2019-10-01,713462,219204,345010,106396,13991,88430,99247,76628,27046,-125806,92405,-10817,49582,919.5,920.0,903.25,904.0,182135
2019-10-08,711318,209357,353154,118285,15094,99108,94644,64621,27664,-143797,103191,4464,36957,920.5,923.75,910.5,915.0,149426
2019-10-15,752145,213310,396301,129517,21307,120425,72472,55339,25944,-182991,108210,47953,29395,934.0,944.25,933.25,938.75,129605
2019-10-22,795241,226404,429474,135626,22006,127694,60522,52814,28530,-203070,113620,67172,24284,934.0,945.25,931.0,932.5,162322
2019-10-29,714564,188800,408623,131753,13857,121711,55862,61037,24203,-219823,117896,65849,36834,918.25,925.25,916.0,921.0,147901
2019-11-05,704165,183635,392011,136625,14876,116541,63038,61775,23345,-208376,121749,53503,38430,921.75,928.75,920.0,925.25,660
2019-11-12,743089,215570,400732,137368,13156,101227,75767,65721,22847,-185162,124212,25460,42874,905.75,909.25,905.0,906.0,158
2019-11-19,765303,229649,408909,137209,13232,93397,81721,69021,20783,-179260,123977,11676,48238,911.5,917.0,910.0,910.5,90805
2019-11-26,807569,256457,389594,132101,11181,73939,118595,80495,21972,-133137,120920,-44656,58523,884.25,895.0,882.75,892.75,104621
2019-12-03,850064,288895,376161,125329,9800,63681,165399,94789,19214,-87266,115529,-101718,75575,871.0,875.75,868.25,873.5,111142
2019-12-10,862952,317061,383634,121194,12203,61099,175349,89702,18949,-66573,108991,-114250,70753,901.25,902.25,896.25,897.5,100653
2019-12-17,805804,282719,377136,124536,13763,68124,148264,80140,16995,-94417,110773,-80140,63145,928.75,931.0,920.25,921.25,137658
2019-12-24,762410,246474,378795,131848,15005,71299,105187,70394,17265,-132321,116843,-33888,53129,936.5,937.5,929.0,933.0,45245
2019-12-31,713516,227236,369511,137797,15773,76687,84211,55447,18344,-142275,122024,-7524,37103,943.0,943.5,933.75,939.25,10926
2020-01-07,722012,228941,372710,139325,15466,77451,80302,50422,19120,-143769,123859,-2851,31302,935.0,935.0,928.75,933.5,866
2020-01-14,746122,233793,386047,140818,14441,79869,76684,50937,19461,-152254,126377,3185,31476,928.5,934.75,928.5,929.0,84463
2020-01-21,772676,249260,392564,146875,11971,69222,88563,55473,18488,-143304,134904,-19341,36985,916.0,931.5,915.25,930.0,119955
2020-01-28,818168,273190,389193,142985,11044,68439,123885,66434,17284,-116003,131941,-55446,49150,895.0,898.0,888.5,897.5,86749
2020-02-04,859677,273956,373182,134739,11192,74341,161337,83158,16000,-99226,123547,-86996,67158,879.5,887.0,873.75,876.25,102451
2020-02-11,880780,290427,376489,124567,16192,76546,173958,88455,14727,-86062,108375,-97412,73728,884.75,889.0,878.0,885.75,134299
2020-02-18,860488,287563,387072,123187,12628,74892,170867,93919,13808,-99509,110559,-95975,80111,892.25,898.5,889.25,894.75,133199
2020-02-25,812537,273565,357706,123551,10899,84976,160712,63272,18094,-84141,112652,-75736,45178,879.0,880.75,873.25,875.5,56793
2020-03-03,787023,253099,386379,124905,8043,86040,121028,63042,16676,-133280,116862,-34988,46366,893.0,895.5,889.25,891.25,3011
2020-03-10,810750,257395,405807,122584,7868,80983,108518,74289,15286,-148412,114716,-27535,59003,873.0,879.5,871.5,874.25,380
2020-03-17,790660,268929,407118,113145,7537,68222,101338,81943,15211,-138189,105608,-33116,66732,824.25,832.5,822.0,824.75,124052
2020-03-24,769458,262187,428289,112668,10068,64547,69262,81654,16592,-166102,102600,-4715,65062,886.75,887.75,872.5,884.0,101830
2020-03-31,793202,274696,460735,109769,15297,72965,50059,85064,18559,-186039,94472,22906,66505,886.0,887.5,875.75,882.5,100917
2020-04-07,821968,287109,477066,112222,19979,72766,55759,91588,15494,-189957,92243,17007,76094,854.75,862.25,854.25,856.0,86188
2020-04-14,837282,289542,484054,112841,20171,74504,63057,102630,17153,-194512,92670,11447,85477,847.0,856.5,845.75,854.75,102334
2020-04-21,844117,287383,472128,114380,19471,75162,80030,106663,18773,-184745,94909,-4868,87890,830.75,833.5,808.25,826.0,85886
2020-04-28,814337,270826,468122,124807,15854,76635,70257,90043,19792,-197296,108953,6378,70251,826.0,835.5,822.5,829.5,63296
2020-05-05,802711,260914,460486,122993,16394,80601,71115,92535,19238,-199572,106599,9486,73297,838.25,838.25,832.5,833.25,543
2020-05-12,849557,277705,501383,123658,17701,94166,63129,94096,21906,-223678,105957,31037,72190,849.25,854.75,847.5,852.75,60
2020-05-19,861248,282992,495720,125289,17125,89101,77116,97642,22026,-212728,108164,11985,75616,842.5,848.5,839.25,846.0,71624
2020-05-26,872254,292737,494973,124183,16810,88348,81334,93754,21909,-202236,107373,7014,71845,847.0,849.0,832.25,832.5,120908
2020-06-02,875645,290821,492502,132707,17284,88069,80935,90864,26162,-201681,115423,7134,64702,850.5,856.0,838.5,840.0,125683
2020-06-09,871756,277181,488834,135423,17789,90891,71759,96396,31419,-211653,117634,19132,64977,863.25,866.5,856.5,864.0,141206
2020-06-16,887070,290531,507391,133343,18671,88850,68971,98645,28322,-216860,114672,19879,70323,867.0,873.0,864.75,870.75,108921
2020-06-23,862796,266646,495028,127591,16405,97017,53989,98137,33151,-228382,111186,43028,64986,875.0,879.0,865.0,876.75,121219
2020-06-30,811476,235956,478300,130695,15643,112444,49078,91112,31607,-242344,115052,63366,59505,884.25,891.0,864.0,865.0,10148
2020-07-07,840495,236313,507997,135647,16382,125810,35192,92325,32434,-271684,119265,90618,59891,895.25,899.25,894.0,894.0,285
2020-07-14,818767,240369,489046,137804,16438,103498,39820,95617,31601,-248677,121366,63678,64016,882.25,882.25,882.25,882.25,30476
2020-07-21,837841,253298,494532,140871,17928,115676,42567,84290,35900,-241234,122943,73109,48390,896.5,902.5,895.0,902.5,28322
2020-07-28,833537,244089,481209,147818,18113,112609,53417,88682,34831,-237120,129705,59192,53851,896.75,903.0,893.0,903.0,45927
2020-08-04,835308,260145,483235,159130,17719,98475,54824,86510,38210,-223090,141411,43651,48300,883.75,893.5,881.0,893.5,1115
2020-08-11,833360,278499,487572,158960,16729,88553,60281,88940,38923,-209073,142231,28272,50017,878.0,879.5,878.0,878.5,275
2020-08-18,839582,241798,517119,158902,17610,134121,27727,71567,39381,-275321,141292,106394,32186,912.0,914.75,908.0,912.0,34101
2020-08-25,843945,247708,527004,153993,18367,135560,31284,66957,27981,-279296,135626,104276,38976,913.75,914.75,905.0,905.0,22496
2020-09-01,871449,230692,554020,155360,20170,180079,22930,68384,33524,-323328,135190,157149,34860,955.0,956.5,945.0,948.0,553
2020-09-08,891905,250931,565236,153176,21197,191087,19819,63331,42170,-314305,131979,171268,21161,973.0,975.75,965.0,975.75,83
2020-09-15,939247,255694,594233,162545,19805,208096,18123,64086,43924,-338539,142740,189973,20162,991.5,1005.75,990.25,1001.0,135852
2020-09-22,974805,253957,605380,169656,19970,223846,12256,60957,53981,-351423,149686,211590,6976,1019.75,1037.0,1013.25,1020.25,169336
2020-09-29,984246,248107,616580,169853,19823,234327,9425,64121,49151,-368473,150030,224902,14970,993.0,997.75,985.75,994.0,120596
2020-10-06,1023352,263717,660698,172350,21713,236869,6123,73563,47026,-396981,150637,230746,26537,1044.0,1053.75,1021.25,1021.5,212107
2020-10-13,1041802,282317,672560,178865,29769,230197,10818,86712,51338,-390243,149096,219379,35374,1044.0,1046.0,1032.5,1034.0,171633
2020-10-20,1036264,288475,687932,180141,31690,231965,4318,85447,53222,-399457,148451,227647,32225,1064.0,1065.75,1051.25,1055.75,120566
2020-10-27,969014,239363,659495,175864,24715,229110,5197,94688,37737,-420132,151149,223913,56951,1082.25,1094.0,1081.75,1086.0,111439
2020-11-03,910994,224198,633464,180491,28752,211552,7276,94872,33257,-409266,151739,204276,61615,1059.0,1068.5,1051.0,1051.0,2656
2020-11-10,925282,220260,644803,176318,29272,214416,2436,105411,35316,-424543,147046,211980,70095,1138.25,1145.25,1102.25,1106.75,582
2020-11-17,929300,224861,646382,170865,23843,207784,7661,112616,36396,-421521,147022,200123,76220,1169.75,1178.25,1156.25,1157.0,148053
2020-11-24,946353,224443,648023,167268,23439,204997,9986,118113,31394,-423580,143829,195011,86719,1191.25,1194.0,1174.0,1190.75,126040
2020-12-01,947968,235646,641079,161859,23556,202216,12999,114337,31225,-405433,138303,189217,83112,1162.0,1176.0,1161.25,1169.25,109296
2020-12-08,937033,245752,627797,145350,23639,193210,15374,116879,25747,-382045,121711,177836,91132,1145.75,1160.25,1142.75,1157.5,176569
2020-12-15,938967,238409,621129,145660,24723,191284,10514,112888,26155,-382720,120937,180770,86733,1184.25,1185.75,1162.0,1170.75,128713
2020-12-21,957607,244512,630018,146609,26019,193242,14890,116312,23426,-385506,120590,178352,92886,1243.25,1244.0,1213.5,1225.25,129147
2020-12-29,896793,232957,599822,142592,26071,194363,14757,106312,25470,-366865,116521,179606,80842,1295.5,1298.75,1245.0,1253.75,43283
2021-01-05,926263,258603,598635,143471,39806,175999,16553,109085,26963,-340032,103665,159446,82122,1350.0,1373.5,1319.25,1319.25,1194
2021-01-12,935394,264892,587297,143663,48186,168507,17966,108327,28011,-322405,95477,150541,80316,1422.0,1430.0,1367.5,1377.25,331
2021-01-19,941826,273706,585064,135787,49383,157227,19731,118908,29717,-311358,86404,137496,89191,1385.75,1421.25,1383.25,1419.0,129335
2021-01-26,934794,275689,591748,132800,48108,162925,14814,116222,27900,-316059,84692,148111,88322,1370.25,1376.5,1333.5,1348.25,116570
2021-02-02,922823,263167,581671,130286,50407,162592,14345,118859,24884,-318504,79879,148247,93975,1354.75,1372.0,1341.5,1366.0,101229
2021-02-09,916791,248907,582705,136635,49745,171311,11767,114902,25271,-333798,86890,159544,89631,1401.75,1409.5,1377.5,1391.0,183992
2021-02-16,910575,252502,564624,133100,49955,161131,11498,112683,26208,-312122,83145,149633,86475,1384.75,1394.0,1373.75,1385.75,115890
2021-02-23,889784,232564,544064,126128,41375,170925,11010,106359,26466,-311500,84753,159915,79893,1406.0,1425.0,1380.75,1383.75,88637
2021-03-02,848466,219538,528177,132870,37909,155364,12035,106986,26653,-308639,94961,143329,80333,1414.0,1416.0,1383.5,1395.0,680
2021-03-09,866929,224721,535489,132965,38066,160226,13688,105648,27441,-310768,94899,146538,78207,1441.25,1443.5,1430.0,1442.25,186
2021-03-16,856153,218767,523794,130646,37670,160017,14815,105514,29185,-305027,92976,145202,76329,1423.25,1425.0,1412.75,1420.0,71215
2021-03-23,853452,214315,521084,128362,37587,164929,13357,105816,29724,-306769,90775,151572,76092,1423.25,1435.0,1414.25,1418.75,108200
2021-03-30,863609,229897,515144,127514,38273,152917,19142,108842,30938,-285247,89241,133775,77904,1366.75,1394.75,1364.25,1393.0,96925
2021-04-06,870313,229139,525053,120343,48439,154809,13666,122125,29465,-295914,71904,141143,92660,1418.75,1431.0,1412.5,1412.75,81203
2021-04-13,885436,233529,518404,118152,49326,147769,17456,122308,28603,-284875,68826,130313,93705,1389.5,1398.75,1378.0,1385.25,119433
2021-04-20,901330,228647,533321,113352,48069,173029,12935,117924,34856,-304674,65283,160094,83068,1472.0,1485.5,1450.0,1450.5,91627
2021-04-27,849061,202064,516104,119897,54321,182691,13840,119119,37337,-314040,65576,168851,81782,1549.75,1608.75,1548.0,1572.25,77706
2021-05-04,806892,181550,497985,122256,46492,178114,15139,124350,39738,-316435,75764,162975,84612,1577.0,1590.75,1571.0,1571.0,1618
