,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2012-10-16,715100,159766,394150,98179,50441,193110,11165,65698,43492,-234384,47738,181945,22206,1493.75,1514.75,1493.0,1494.0,103736
2012-10-23,706473,148437,388651,97697,50267,194976,13943,64023,40432,-240214,47430,181033,23591,1553.25,1555.0,1529.0,1546.5,95184
2012-11-06,620361,120668,355698,102512,39473,174499,12775,46030,30477,-235030,63039,161724,15553,1516.75,1525.75,1505.75,1506.75,5592
2012-11-13,604162,122933,328214,103134,39261,152710,20419,48759,32262,-205281,63873,132291,16497,1427.0,1427.0,1400.75,1422.0,1838
2012-11-20,603691,130368,320715,102949,38971,143739,25512,48628,34160,-190347,63978,118227,14468,1412.75,1416.0,1380.75,1395.25,93560
2012-11-27,603386,133572,314384,103061,39306,139867,30891,47564,34351,-180812,63755,108976,13213,1449.25,1451.0,1423.0,1424.75,91378
2012-12-04,593935,131335,310197,103071,39862,135931,31491,47877,29498,-178862,63209,104440,18379,1455.5,1461.0,1436.0,1453.0,84049
2012-12-11,599332,120999,315701,102771,35955,143094,25057,46652,33218,-194702,66816,118037,13434,1472.0,1487.75,1464.25,1474.75,153947
2012-12-18,611685,126256,334538,103648,30979,153795,24191,43657,35798,-208282,72669,129604,7859,1466.0,1501.75,1462.5,1496.0,133472
2012-12-24,569969,129644,314796,101773,27266,139438,25274,39483,39034,-185152,74507,114164,449,1439.75,1443.5,1428.5,1432.5,16653
2012-12-31,546275,118147,301360,101664,26902,134255,23673,38788,40142,-183213,74762,110582,-1354,1418.75,1433.75,1409.5,1423.0,12657
2013-01-08,539444,126429,269302,96356,29482,119056,34075,38126,42227,-142873,66874,84981,-4101,1413.75,1420.0,1405.0,1412.0,2435
2013-01-15,532386,127187,251277,80007,33587,117285,31734,38815,45003,-124090,46420,85551,-6188,1413.5,1436.25,1408.0,1416.75,103624
2013-01-22,548246,126298,261908,79964,32520,122513,27039,40650,46575,-135610,47444,95474,-5925,1451.75,1460.75,1436.0,1440.0,111637
2013-01-29,574109,133597,271756,76695,29877,126743,24223,39580,49682,-138159,46818,102520,-10102,1451.75,1458.0,1441.0,1445.75,84650
2013-02-05,607911,138823,300650,77150,29998,150393,27641,43438,52719,-161827,47152,122752,-9281,1495.5,1496.5,1478.0,1488.0,90371
2013-02-12,618804,152621,319274,78245,33345,158790,22744,41367,52328,-166653,44900,136046,-10961,1420.75,1438.5,1417.0,1431.25,113176
2013-02-19,639511,177964,329080,76723,32982,149507,32443,47354,52710,-151116,43741,117064,-5356,1470.25,1474.25,1432.25,1432.5,145035
2013-02-26,598066,156231,337290,81992,18997,142697,21279,51621,44784,-181059,62995,121418,6837,1447.75,1459.0,1436.25,1450.0,64608
2013-03-05,593117,153230,328396,76818,20201,142174,21968,51878,48926,-175166,56617,120206,2952,1496.5,1511.0,1488.5,1488.5,6281
2013-03-12,605100,156660,341289,76181,19951,149995,20315,54286,50392,-184629,56230,129680,3894,1489.75,1516.0,1488.75,1515.0,840
2013-03-19,582483,161110,318494,77278,19443,128654,25457,55448,48403,-157384,57835,103197,7045,1406.75,1418.75,1403.0,1409.5,97365
2013-03-26,577889,161332,323801,77735,20548,128852,21681,53829,50375,-162469,57187,107171,3454,1447.75,1449.5,1434.0,1437.0,61945
2013-04-02,564800,153323,298081,81305,19959,117411,33898,57910,45260,-144758,61346,83513,12650,1394.0,1405.75,1386.0,1393.5,98588
2013-04-09,576118,156561,273599,82293,19975,114989,44760,49166,48631,-117038,62318,70229,535,1395.5,1397.0,1375.5,1378.75,123394
2013-04-16,558530,146584,275252,81484,18715,121559,40327,51481,51167,-128668,62769,81232,314,1411.5,1417.0,1389.0,1394.5,102038
2013-04-23,575432,163368,295089,81109,13823,118533,36933,52432,56465,-131721,67286,81600,-4033,1419.75,1430.0,1417.0,1417.0,77582
2013-04-30,538165,143513,295864,92708,10163,129466,33855,45513,62052,-152351,82545,95611,-16539,1467.75,1488.75,1464.0,1470.0,18406
2013-05-07,536506,145906,276997,92181,9052,121762,43310,45720,62215,-131091,83129,78452,-16495,1463.5,1464.0,1445.0,1445.0,1345
2013-05-14,564454,146702,285529,88660,7955,136598,47387,47411,64987,-138827,80705,89211,-17576,1524.5,1545.0,1514.75,1522.0,75010
2013-05-21,582728,145462,287611,86614,12353,164259,57882,50574,74054,-142149,74261,106377,-23480,1478.25,1479.25,1456.0,1460.5,125501
2013-05-28,581323,129804,273875,84372,12634,180913,57192,49880,80567,-144071,71738,123721,-30687,1509.25,1528.5,1472.5,1475.0,105640
2013-06-04,600319,139112,292365,84684,16985,185969,46775,48241,77831,-153253,67699,139194,-29590,1528.75,1533.0,1518.0,1531.75,56812
2013-06-11,612808,141374,307440,87273,16260,198491,46268,51004,81018,-166066,71013,152223,-30014,1540.5,1544.0,1514.75,1515.5,93870
2013-06-18,621572,151077,301430,88402,14425,187799,50989,45216,80511,-150353,73977,136810,-35295,1510.75,1530.0,1510.0,1511.75,67843
2013-06-25,562572,120763,298866,100466,9655,180184,38607,40009,71662,-178103,90811,141577,-31653,1525.25,1527.75,1507.0,1511.75,52405
2013-07-02,523071,111120,273799,93747,11430,166777,39318,41322,64801,-162679,82317,127459,-23479,1573.0,1584.75,1565.0,1570.75,1612
2013-07-09,517973,109128,267643,91184,12252,158852,37839,43604,60246,-158515,78932,121013,-16642,1613.25,1630.0,1607.0,1609.75,3023
